id,title,location,price,m2,type,status,floor,description,n_photos,n_rooms,n_bathrooms,particular,luxury,video,virtual_tour,3d_tour,plane,air_conditioning,heating,elevator,furnished,terrace,consume,emisions
104391325,Piso en venta en calle de los Concilios,Buenavista-Valparaíso-La Legua,274900,115,flat,Segunda mano/buen estado,Planta 1ª exterior,"Agencia inmobiliaria en Toledo zona Avenida Europa - Tecnocasa ESTUDIO CIUDAD DEL GRECO SLUIncreíbles VISTAS PANORÁMICAS de Toledo.Incluye DOS plazas de GARAJE unidas y TRASTERO.VENDE PISO EN TOLEDO, junto al Hotel Beatriz.La vivienda se encuentra en una urbanización privada con zonas ajardinadas, parque infantil y piscina comunitaria.Este fantástico piso está compuesto por amplio salón, cocina amueblada reformada y equipada con electrodomésticos, terraza-tendedero, 3 dormitorios, 2 baños completos con mobiliario. El dormitorio principal tiene baño en suite.Cuenta con armarios empotrados y aire acondicionado.Vivienda completamente exterior.La vivienda se entregará con trastero y plaza de garaje en el mismo bloque.Accede al TOUR VIRTUAL de la vivienda a través de nuestra página web.",40,3,2,False,False,False,False,False,True,True,Calefacción individual: Gas natural,True,,,C,C
104758850, Chalet adosado en venta en Buenavista-Valparaíso-La Legua,Toledo,399900,150,house,Segunda mano/buen estado,2 plantas,"Agencia inmobiliaria en Toledo zona Avenida Europa - Tecnocasa ESTUDIO CIUDAD DEL GRECO SLUVENDE CHALET ADOSADO EN TOLEDO, en los alrededores de Calle Alemania. La vivienda se distribuye en 2 plantas:-Planta baja: porche cerrado que da acceso a la vivienda, salón, cocina, aseo, PATIO y GARAJE.-Primera planta: dormitorio principal con baño en suite, 3 dormitorios adicionales (uno de ellos con terraza) y baño.Cuenta con excelentes calidades como ventanas Climalit, suelos de parquet e instalación de aparatos de aire acondicionado con bomba de frio/calor en todas las estancias.Dispone de calefacción individual de gas natural y aire acondicionado en toda a casa.La finca se encuentra en urbanización privada con PISCINA comunitaria.Accede al TOUR VIRTUAL a través de nuestra página web.La vivienda se encuentra en la zona de la BUENAVISTA, uno de los mejores barrios de Toledo con todos los servicios primarios y de ocio a escasos metros, como colegios, supermercados, centro de salud, farmacia, tiendas, bares, restaurantes y una estupenda comunicación con la línea de autobuses urbanos que comunica con todo el municipio de TOLEDO. También se encuentra situada con una excelente comunicación tanto de entrada como de salida a la ciudad de Toledo, permitiendo que en escasos minutos se pueda acceder o salir a la autovía a-42.",40,4,3,False,False,False,False,False,True,True,Calefacción individual: Gas natural,,,Terraza,C,C
104773412,Piso en venta en ronda Buenavista,Buenavista-Valparaíso-La Legua,254990,93,flat,Segunda mano/buen estado,Planta 3ª exterior,"Agencia Inmobiliaria de Toledo zona Santa Teresa- Tecnocasa Ciudad de Toledo Gestión inmobiliaria sl VENDE piso en Ronda de Buenavista.PISO DE 4 DORMITORIOS, 2 BAÑOS, SALÓN/COMEDOR, COCINA, GARAJE, TRASTERO Y PISCINA.Compuesta por:-Amplio salón/comedor muy luminoso con acceso a la terraza.-Cocina amueblada con acceso a la terraza.-Dormitorio principal con ventana y baño completo con ventana y bañera en suit.-Segundo dormitorio con ventana.-Tercer dormitorio con ventana.-Cuarto dormitorio con ventana.-Garaje.-Trastero.-Piscina.-Parque infantil comunitario.La vivienda fue construida en 1997, en perfecto estado de conservación y cuenta con calidades como suelos gres, ventanas de aluminio, CALEFACCIÓN de gas natural.Esta propiedad se encuentra en la población de Toledo, en la EXCLUSIVA URBANIZACIÓN RONDA DE BUENAVISTA, cuenta con servicios como supermercados, bares, restaurantes, gimnasio, biblioteca, colegio, entre otros.¡SEGUNDA PLAZA DE GARAJE EN VENTA OPCIONAL POR 14990€!",33,4,2,False,False,False,True,False,True,False,Calefacción individual: Gas natural,True,,Terraza,C,C
102747147, Chalet adosado en venta en Buenavista-Valparaíso-La Legua,Toledo,289000,163,house,Segunda mano/buen estado,3 plantas,"INCREÍBLE CHALET ADOSADO EN VENTA EN VALPARAÍSO.Chalet adosado en perfecto estado ubicado en la urbanización de Valparaíso. La vivienda consta de tres plantas, planta semisótano de gran espacio, diáfano con múltiples posibilidades, baño completo con plato de ducha y garaje con capacidad para un coche, amplio trastero y además dispone de un acceso al jardín de la vivienda.La planta baja da lugar a la entrada de la vivienda, en ella se encuentra ubicada la cocina, el cual da acceso al tendedero, salón-comedor con salida a una terraza, y un aseo.La primera planta esta compuesta por tres dormitorios, con armarios empotrados; el dormitorio principal cuenta con baño en suite con bañera y vestidor. También dispone de un segundo baño completo con bañera.La vivienda está constituida con materiales de alta calidad, carpintería exterior de aluminio, lacada en gris y ventanas tipo climalit de doble acristalamiento con mosquiteras y toldos en todas las ventanas. Carpinteria interior de madera y suelos de tarima y mármol. Calefacción individual por gas natural.Una excelente vivienda, en una zona muy tranquila y bien comunicada con todos los servicios cotidianos como Supermercado, Farmacia, Colegio Público, Parada de autobuses L3, a escasos metros de la vivienda, y a tan solo 5 minutos del centro de Toledo. ¡No pierdas esta oportunidad, y solicita tu visita sin compromiso!No cobramos comisión al comprador.",42,3,4,False,False,False,True,False,True,True,Calefacción individual: Gas natural,,,Terraza,C,
103550842,Piso en venta en Buenavista-Valparaíso-La Legua,Toledo,227000,90,flat,Segunda mano/buen estado,Planta 1ª exterior,"Piso en venta en Buenavista, es una acogedora vivienda que cuenta con todas las comodidades necesarias para una vida cómoda y practica. Ubicado en una zona privilegiada rodeada de comercios, restaurantes, farmacias y supermercados. Este luminoso y espacioso piso cuenta con 4 amplios dormitorios y 2 baños completos. La cocina es independiente y dispone de un práctico tendedero. El salón es amplio y cuenta con una terraza acristalada que brinda luz natural y vistas despejadas. Además, el piso incluye garaje y trastero. Cuenta con calefacción central con contador individual asegura una temperatura agradable durante las estaciones mas frías, dispone de aire acondicionado en el salón y dormitorio principal. para aliviar las altas temperaturas estivales de la ciudad.La ubicación es ideal, con colegios, institutos y universidades cercanas. No pierdas esta oportunidad, Visítalo! Sin comsion para el comprador.",23,4,2,False,False,False,True,False,True,True,Calefacción individual,True,,Terraza,C,C
104837756, Chalet adosado en venta en Buenavista-Valparaíso-La Legua,Toledo,349000,224,house,Segunda mano/buen estado,3 plantas,"CHALET ADOSADO en la zona de Valparaíso (Toledo) con PISCINA COMUNITARIA. Compuesto por 3 plantas, con 5 DORMITORIOS, SALÓN, COCINA y 3 BAÑOS. Con CALEFACCIÓN DE GAS NATURAL y AIRE ACONDICIONADO.Consta de planta sótano, planta baja y 1ª planta. La planta sótano ocupa una superficie total construida de 41,85 m2. Destinado a GARAJE con escalera interior de comunicación con la planta superior. La planta baja ocupa una superficie total de 96,15 m2, distribuida en: SALÓN-COMEDOR, COCINA, 1 DORMITORIO y BAÑO.La 1ª planta ocupa una superficie total construida de 85,60m2, distribuida en 4 DORMITORIOS y 2 BAÑOS.La superficie total construida es de 223,60 m2.Los DORMITORIOS son amplios, luminosos, con espacio para distribuir todo el mobiliario, con ARMARIO EMPOTRADO, AIRE ACONDICIONADO. SALÓN con salida a TERRAZA, con toldos, ideal como desahogo de la vivienda. El SALÓN está dividido en dos alturas, una a modo de salón donde situar los sofás con la tv, y otra a modo de comedor, donde situar la mesa con sillas, ideal para comidas y/o cenas más formales.COCINA amplia, luminosa, con mobiliario alto y bajo, gran capacidad de almacenaje para situar todo el mobiliario y todos los electrodomésticos: frigorífico, vitro, horno, lavavajillas, etc. Con espacio para situar una mesa, ideal para comidas y/o cenas más informales.2 BAÑOS completos con bañera con mampara. Un tercer BAÑO es completo con plato de ducha con mampara.La vivienda cuenta con JARDÍN privado. Zona techada a modo de porche con toldo y solada, ideal para reuniones con familia y/o amigos. Cuenta con BARBACOA de obra.La urbanización cuenta con PISCINA COMUNITARIA, PISTAS DEPORTIVAS, ZONAS INFANTILES, ZONAS VERDES... muy tranquila y familiar. Comunicada perfectamente con Toledo y/o Madrid, y con todos los servicios cerca.La vivienda dispone de GARAJE amplio, con espacio a modo de trastero incluso, para una correcta organización del inmueble.REFERENCIA DEL INMUEBLE: TOTOBU1450Si quieres visitarlo, llámanos ahora y acuerda una visita sin compromiso. La Botica Inmobiliaria es la primera inmobiliaria de TARIFA PLANA.Con La Botica Inmobiliaria puedes vender tu casa desde una tarifa fija de 1.650 € + IVA.Si vendes o alquilas tu casa te ofrecemos un servicio de marketing exclusivo, realizando una difusión simultánea en más de 50 portales inmobiliarios, haciendo fotos y planos profesionales y dando asesoramiento completo desde el inicio hasta el final.Entra en nuestra web y VENDE tu casa con La Botica Inmobiliaria AHORRANDO miles de euros en comisiones. ¿Por qué no?*Precio fijo, sin % comisión *Sin pagos mensuales, ni por adelantado *Consigue el mejor precio.Entra en y consigue una valoración gratuita de tu vivienda.****Precio fijo, sin % de comisión.****Sin pagos mensuales.****Sin pagos por adelantado.Infórmate en nuestro sitio web de todas las condiciones.*Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual.Gastos de compraventa NO incluidos en el precio.",63,5,3,False,False,False,True,False,True,True,Calefacción individual: Gas natural,,,Terraza,C,C
102811467, Chalet pareado en venta en calle Rodrigo de la Fuente,Buenavista-Valparaíso-La Legua,369000,150,house,Segunda mano/buen estado,,"En VENTA bonito chalet con GRAN PARCELA en la urbanización LA LEGUA. La propiedad cuenta con una amplia parcela, con un precioso jardín diseñado por la propiedad, con árboles, arbustos, estanque y plantas ornamentales. La vivienda se distribuye en dos plantas: Planta baja con porche de entrada que nos da acceso a un amplio hall, salón con acceso a patio trasero, despensa, aseo con plato de ducha, dormitorio y cocina muy amplia y lavadero cerrado. Planta PRIMERA con distribuidor que nos comunica con el baño común y los tres dormitorios dobles, todos ellos con armarios empotrados, el dormitorio principal en suite con vestidor y baño. En el exterior tenemos un amplio garaje para dos coches y un cuarto trastero. La vivienda cuenta con sistema de PLACAS SOLARES FOTOVOLTAICAS con una potencia de 5 KW, gasto mínimo en consumo eléctrico. Nuestro departamento financiero le puede llegar a conseguir las mejores condiciones hipotecarias y porcentaje de financiación pudiendo alcanzar incluso el 100% del precio de compra. Preinstalación de A/A en todas las estancias, actualmente cuenta con 4 aparatos inverter, caldera de gas natural de condensación. Suelos de tarima y gres, puertas de roble, puertas seccionales en garajes, porches de estructura metálica con cubiertas vegetales, mosquiteras, pintura en tierras florentinas. Parcela con amplia variedad de especies vegetales, entre ellas un gran plátano de sombra y una gran palmera. Situada en una de las mejores zonas de Toledo, con fácil acceso y comunicación con Toledo y Madrid, con amplias zonas verdes, zonas deportivas, colegios, supermercados y transporte urbano. Si buscas una vivienda cómoda, con una gran parcela, en muy buen estado de conservación y muchas más posibilidades, es tu oportunidad. Podemos asesorarte sobre la mejor opción hipotecaria, solicita información a tu comercial.",49,4,3,False,False,False,True,False,True,True,Calefacción individual: Gas natural,,,Terraza,C,
104644273,Piso en venta en calle Doctor Fleming,Buenavista-Valparaíso-La Legua,239900,130,flat,Segunda mano/buen estado,Planta 1ª exterior,"Agencia inmobiliaria en Toledo zona Avenida Europa - Tecnocasa ESTUDIO CIUDAD DEL GRECO SLUVENDE PISO EN TOLEDO, en Urb. Tres Culturas.PISO TOTALMENTE EXTERIOR de 130 m2 y amplia plaza de GARAJE y TRASTERO incluidos en el PRECIO. LA VIVIENDA se distribuye en 3 dormitorios, 2 amplios cuarto de baños completos (uno de ellos en SUITE), armarios empotrados (en entrada y dormitorios) y cocina, AMPLIO Y LUMINOSO salón y una amplia TERRAZA. Cuenta con COCINA amplia, CALDERA y aparatos de AIRE ACONDICIONADO en varias de las estancias. La URBANIZACIÓN donde se encuentra la vivienda es privada y exclusiva, CERRADA con portero en horario mañana y tarde, cuenta igualmente con zonas de jardín, PISCINA y PISTA DE BASKET y FÚTBOL.Accede al TOUR VIRTUAL a través de nuestra página web.Cuenta con varios servicios cercanos como:- Mercadona a 5 minutos en coche.- Gasolinera nueva y nuevo Aldi a 3 minutos en coche.- Restaurantes a menos de 5 minutos en coche.- Parada de autobús a pocos pasos de la puerta. (Líneas 81 y 83)- Conexión directa con la A-42 y la carretera de Ávila.- Servicios de peluquería y estética a menos de 1 minuto.- Farmacia a 4 minutos en coche.- Colegio CEIP Europa a 3 minutos en coche.- Colegio Maristas a 6 minutos en coche.- Parque infantil al aire libre en la urbanización.",29,3,2,False,False,False,False,False,True,True,Calefacción individual: Gas natural,True,,Terraza,C,C
105234463, Chalet pareado en venta en calle Piñonero,Buenavista-Valparaíso-La Legua,309900,250,house,Segunda mano/buen estado,,"Chalet pareado en la zona de valparaíso (toledo) compuesto por 3 plantas, con 4 dormitorios, salón, cocina y 2 baños. Con calefacción de gas natural y aire acondicionado.Piscina propia!consta de planta sótano, planta baja y 1ª planta. La planta sótano que se puede destinar a garaje o zona de ocio, con escalera interior de comunicación con la planta superior.La planta baja distribuida en: salón-comedor, cocina, aseo y acceso directo patio desde salón.La 1ª planta distribuida en 4 dormitorios y 2 baños.",51,4,2,False,False,False,False,False,False,True,Calefacción individual: Gas natural,,,Terraza,C,
105185224, Chalet pareado en venta en calle Piñonero,Buenavista-Valparaíso-La Legua,269900,266,house,Segunda mano/buen estado,,"CHALET PAREADO en la zona de Valparaíso (Toledo) Compuesto por 3 plantas, con 4 DORMITORIOS, SALÓN, COCINA y 2 BAÑOS. Con CALEFACCIÓN DE GAS NATURAL y AIRE ACONDICIONADO.Consta de planta sótano, planta baja y 1ª planta. La planta sótano que se puede destinar a garaje o zona de ocio, con escalera interior de comunicación con la planta superior.La planta baja distribuida en: SALÓN-COMEDOR, COCINA, ASEO Y ACCESO DIRECTO PATIO DESDE SALÓN.La 1ª planta distribuida en 4 DORMITORIOS y 2 BAÑOS.La superficie total construida es de 276 m2.",50,4,2,False,False,False,False,False,False,True,Calefacción individual: Gas natural,,,,C,
104824591,Piso en venta en calle Reino Unido,Buenavista-Valparaíso-La Legua,317990,120,flat,Segunda mano/buen estado,Planta 1ª exterior,"Agencia inmobiliaria en Toledo zona Avenida Europa - Tecnocasa ESTUDIO CIUDAD DEL GRECO SLUVENDE PISO EN TOLEDO, en Calle Reino Unido.La vivienda se encuentra en una urbanización privada con zonas comunes y PISCINA COMUNITARIA.El piso está compuesto por amplio SALÓN, COCINA amueblada y equipada con electrodomésticos, terraza-tendedero, 3 DORMITORIOS y 2 BAÑOS COMPLETOS. El dormitorio principal dispone de baño en suite.Cuenta con ARMARIOS EMPOTRADOS y AIRE ACONDICIONADO.Vivienda COMPLETAMENTE EXTERIOR.Se entregará con plaza de GARAJE en el mismo bloque.Accede al TOUR VIRTUAL a través de nuestra página web.La vivienda se encuentra en la zona de la Av. Europa, uno de los mejores barrios de Toledo con todos los servicios primarios y de ocio a escasos metros, como colegios, supermercados, centro de salud, farmacia, tiendas, bares, restaurantes y una estupenda comunicación con la línea de autobuses urbanos que comunica con todo el municipio de TOLEDO. También se encuentra situada con una excelente comunicación tanto de entrada como de salida a la ciudad de Toledo, permitiendo que en escasos minutos se pueda acceder o salir a la autovía a-42.",40,3,2,False,False,False,False,False,True,True,Calefacción individual: Gas natural,True,,,C,C
105360465, Chalet adosado en venta en Buenavista-Valparaíso-La Legua,Toledo,298000,199,house,Segunda mano/buen estado,2 plantas,"CHALET ADOSADO en 3 plantas en Valparaíso (Toledo). Con PISICNA COMUNITARIA. Cuenta con amplio GARAJE para 1 coche. En 1ª planta SALÓN a dos alturas, COCINA con DESPENSA y 1 ASEO. Con salida al PATIO. Y en 2 planta, 4 DORMITORIOS y 2 BAÑOS. Uno de los dormitorios cuenta con dos ventanas de grandes dimensiones. La vivienda cuenta con AIRE ACONDICIONADO Y CALEFACCIÓN DE GAS NATURAL. Dispone de zonas comunes: pistas de fútbol, canchas de tenis, zonas verdes.SALÓN a dos alturas, zona de descanso donde situar el sofá con la TV abajo, y zona de COMEDOR donde se coloca la mesa con sillas en la zona más alta, desde la cual se accede a la COCINA.DORMITORIOS amplios, luminosos, con ARMARIOS EMPOTRADOS. DORMITORIO principal tipo suite con BAÑO incorporado, el cual cuenta con BAÑERA con mampara, y como extra con ventana exterior, ideal para una correcta ventilación. Dispone de zona a modo VESTIDOR. COCINA amplia, luminosa, con mobiliario alto y bajo, gran capacidad de almacenaje, alto y bajo, con espacio para situar todos los electrodomésticos: horno, frigorífico, lavavajillas, vitrocerámica, etc. Con espacio para situar una mesa con sillas, ideal para comidas y/o cenas informales.Otro de los BAÑOS es completo con bañera.El inmueble cuenta con terraza de amplias dimensiones, donde poder situar hamacas a modo solárium, o una mesa con sillas, ideal para momentos en familia y/o con amigos, donde disfrutar de una comida y/o cenas con vistas a Toledo.El inmueble cuenta con GARAJE amplio para un coche, y con espacio para almacenaje extra a modo trastero, ideal para una correcta organización de la vivienda. La urbanización cuenta con pistas deportivas, zonas verdes, PISCINA COMUNITARIA, etcétera. REFERENCIA DEL INMUEBLE: TOTOBU1170Si quieres visitarlo, llámanos ahora y acuerda una visita sin compromiso. La Botica Inmobiliaria es la primera inmobiliaria de TARIFA PLANA.Con La Botica Inmobiliaria puedes vender tu casa desde una tarifa fija de 1.650 € + IVA.Si vendes o alquilas tu casa te ofrecemos un servicio de marketing exclusivo, realizando una difusión simultánea en más de 50 portales inmobiliarios, haciendo fotos y planos profesionales y dando asesoramiento completo desde el inicio hasta el final.Entra en nuestra web y VENDE tu casa con La Botica Inmobiliaria AHORRANDO miles de euros en comisiones. ¿Por qué no?*Precio fijo, sin % comisión *Sin pagos mensuales, ni por adelantado *Consigue el mejor precio.Entra en y consigue una valoración gratuita de tu vivienda.****Precio fijo, sin % de comisión.****Sin pagos mensuales.****Sin pagos por adelantado.Infórmate en nuestro sitio web de todas las condiciones.*Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual.Gastos de compraventa y honorarios NO incluidos en el precio.",61,4,3,False,False,False,False,False,False,True,Calefacción individual: Gas natural,,,Terraza,C,
98420492, Casa o chalet independiente en venta en Buenavista-Valparaíso-La Legua,Toledo,750000,400,house,Segunda mano/buen estado,,"MAISONDIX ofrece CHALET INDEPENDIENTE en Urbanización CIGARRALES DE VISTAHERMOSA TOLEDO.Ubicada en una de las mejores Urbanizaciones de la ciudad, se encuentra esta vivienda principalmente en UNA PLANTA con dos amplios porches, PISCINA y jardín.Todas las estancias principales se distribuyen en la planta de acceso para conseguir que la comodidad sea, sin lugar a dudas, la característica más destacable de la casa, amplio hall de entrada que da acceso a salón - comedor con salida al porche, cocina más habitación de lavado y despensa, dos habitaciones en suite con amplio vestidor cada una de ellas con baño incorporado, en la misma planta encontramos dos dormitorios más y baño.Planta superior, la galería distribuye dos habitaciones cada una de ellas con amplia terraza con vistas y baño. Detalles"" Suelos de tarima y suelos de piedra caliza en salón, amplios ventanales, vidrio de seguridad bajo emisivos y control solar, así como Fibra óptica 500mb, salón con chimenea en cassette, A/A""Dispone de DOS VIVIENDAS de invitados junto a porche y piscina totalmente equipadas, con cocinas.GARAJE exterior para cuatro coches.Ubicada a 1’5km del centro de TOLEDO y 35 min de MADRID, zona con Colegio Privado International School San Patricio TOLEDO, Club Social MONTEVERDE.“La CASA PERFECTA con las COMODIDADES de una GRAN CIUDAD”.",29,6,4,False,True,False,False,False,False,False,,,,Terraza y balcón,C,
105177767,Piso en venta en ronda Buenavista,Buenavista-Valparaíso-La Legua,255000,115,flat,Segunda mano/buen estado,Planta 2ª exterior,"MAISONDIX ofrece PISO EXTERIOR TRES habitaciones, ubicado en zona residencial principal de Toledo. Distribución hall, amplio salón exterior con terraza, cocina amueblada totalmente equipada y acceso a terraza cerrada, un dormitorio en suite con vestidor y baño, dos habitaciones un baño. Urbanización cerrada con PISCINA zonas ajardinadas. Cuenta con plaza de GARAJE y TRASTERO. Disponible a partir de noviembre de 2024.MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS.",8,3,2,False,False,False,False,False,False,False,Calefacción individual,True,,Terraza,C,
105200805,Piso en venta en Buenavista-Valparaíso-La Legua,Toledo,340000,110,flat,Segunda mano/buen estado,Planta 3ª exterior,"Piso con dos piscinas, pista de padel, pista de fútbol sala, baloncesto y área infantil comunitarios en urbanización cerrada.A/A por conductos en salón y dormitorios.Todo exterior, mucha luz natural.4 armarios empotrados vestidos, tres con cajoneras y el armario de entrada.Bien comunicado, con autobuses de linea urbana cada 20 minutos, parada de taxi a excasos metros y fácil salida a la circunvalación TO-20.Barrio muy tranquilo y con mucha vida en la calle, con todos los servicios a mano, al lado de colegios, institutos, del centro de salud, supermercados, bares con terrazas, restaurantes, etc.Distancias en coche a sitios de interés: A 10 km del hospital universitario y del parque temático Puy de Fou, a 3 km de la estación del Ave y de la estación autobuses.",24,3,2,False,False,False,False,False,False,True,Calefacción individual: Gas natural,True,,,C,
